"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","15/1644","36/9376",0.416666666666667,2.37631792376318,3.81493550420604,0.000589491533876493,0.00584438749300409,0.00455637065281981,"RFC4/MCM4/MCM3/FEN1/RNASEH2A/PRIM2/MCM2/MCM6/MCM7/POLD1/MCM5/PCNA/PRIM1/POLE2/RFC3",15
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","21/1644","61/9376",0.344262295081967,1.96338398946991,3.48067548533097,0.00110612708628787,0.0106618360817192,0.00831212459578894,"SLC26A6/MT2A/MT1X/MT1E/SLC5A1/SLC34A3/ATP1B3/SLC34A1/VDR/SLC39A4/SLC26A3/MT1F/TF/STEAP2/ATP1A4/MT1G/MT1HL1/TRPM6/SLC26A9/MT1H/SLC8A2",21
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","64/1644","254/9376",0.251968503937008,1.43701745311033,3.25582630868917,0.00116987349724077,0.0109715163119608,0.00855355586887281,"ITPKA/GNA14/TBXA2R/PLCB1/ADRA1A/GRPR/PLCE1/SPHK1/ASPH/PDGFA/EDNRB/CHRM3/PDGFB/MCOLN3/CACNA1E/CAMK2B/PTGFR/ADRA1B/HTR2A/EGF/FGF21/HGF/TNNC1/HTR4/ADRA1D/MST1/AVPR1A/NOS2/ADCY1/PDE1C/MYLK2/CHRM2/VEGFD/GRIN1/CHRFAM7A/CACNA1G/BDKRB1/PTGER3/NFATC4/GRM5/PLCB4/CACNA1I/RYR2/PDGFRA/ADRB1/GRIN2D/FGF17/CHRNA7/NTRK3/GRIN2B/FGF19/DRD1/FGF18/CASQ2/GRIN2A/ADCY8/HTR2C/NOS1/FGF7/FGF23/CACNA1S/SLC8A2/TRDN/TACR3",64
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","26/1644","82/9376",0.317073170731707,1.80831998101003,3.38984256435162,0.00123291083847517,0.0112584226566022,0.00877723228498943,"UCK2/RRM2/TK1/NAT1/NAT2/NME1/NME1-NME2/NME2/UGT2B7/UGT2B10/GSTA4/UGT2B11/CYP2E1/CYP2A7/CDA/XDH/CYP2A6/UGT2B28/GSTM2/CYP3A4/GSTM5/GSTA2/UGT2A1/UGT2A2/UPP2/GSTM1",26
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","28/1644","91/9376",0.307692307692308,1.75481938985589,3.33628706796946,0.00136932165235232,0.0121834516247758,0.0094983985061956,"GABRD/GNG4/PDE2A/KCNJ5/PDE7B/GNAO1/GABRQ/GABRE/PDE11A/GABRA3/PDE4C/GABRA2/ADCY1/PDE1C/GNG13/GABRR3/KCNJ6/GABBR2/ADORA1/GABRR1/DRD1/GNGT1/ADCY8/GABRB1/GABRA5/GABRB2/GABRG3/GABRG2",28
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","7/1644","12/9376",0.583333333333333,3.32684509326845,3.7189300891321,0.00175100099893228,0.0151899336657375,0.0118422962296209,"CLEC4M/NGFR/CHRNA1/NECTIN4/NCAM2/FCGR2B/NCAM1",7
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","28/1644","93/9376",0.301075268817204,1.71708133846114,3.20447097032311,0.00196871887573992,0.0166620841434574,0.0129900064458321,"E2F1/ITGA6/CCNE2/CCNE1/LAMC1/E2F2/CDKN2B/LAMA4/E2F3/CKS2/CDK4/GADD45B/COL4A1/CKS1B/BAK1/LAMA3/ITGA2/GADD45A/PIK3R2/COL4A2/GADD45G/LAMB4/LAMB3/BIRC7/COL4A5/NOS2/BIRC3/COL4A6",28
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","29/1644","99/9376",0.292929292929293,1.67062351003957,3.09302347055351,0.0026110911236014,0.0215725861878497,0.0168183062347258,"ITGA6/ITGA9/CACNG4/ITGA2/MYL3/IGF1/DTNA/PRKAA2/PRKAG2/DMD/SGCE/CACNB2/ITGA11/TNNC1/TPM2/CACNB4/TNNT2/TNNI3/ITGB4/TGFB2/RYR2/ITGB6/CACNG8/CACNA2D3/SGCA/DES/NOS1/CACNA1S/SLC8A2",29
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","30/1644","105/9376",0.285714285714286,1.62947514772332,2.99089088738682,0.00336765194062776,0.0271761679859961,0.0211869412176581,"ITGA6/ITGA9/CACNG4/ITGA2/MYL3/IGF1/DTNA/DMD/SGCE/CACNB2/ITGA11/TNNC1/TPM2/CACNB4/TNNT2/TNNI3/ADCY1/ITGB4/TGFB2/RYR2/ITGB6/ADRB1/CACNG8/CACNA2D3/SGCA/DES/ADCY8/NOS1/CACNA1S/SLC8A2",30
"Metabolism","Amino acid metabolism","hsa00330","Arginine and proline metabolism","17/1644","50/9376",0.34,1.93907542579075,3.06992944653135,0.00370306325910792,0.0292037034297829,0.0227676377414051,"ALDH2/P4HA2/PYCR1/CNDP1/GOT2/SMOX/HOGA1/CKMT1A/CKMT1B/CKB/ALDH1B1/NOS2/OAT/PRODH2/CKM/ARG1/NOS1",17
