"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa00983","Drug metabolism - other enzymes",26,-0.367045592743759,-2.06916901898686,0.0013557002443093,0.0113130847973396,0.00934965685730549,1013,"tags=58%, list=24%, signal=44%","GSTA2/GSTM1/GSTM2/GSTM5/XDH/CDA/NAT1/UGT2B28/CYP3A4/CYP2A6/CYP2E1/UGT2B7/UGT2B10/CYP2A7/NAT2"
"hsa04917","Prolactin signaling pathway",12,-0.511916496133481,-2.05835899786652,0.00218299256997965,0.0176094733978358,0.0145532837998643,185,"tags=42%, list=4%, signal=40%","ESR1/SOCS2/FOS/INS/TH"
"hsa04978","Mineral absorption",21,-0.380944385239399,-2.03077684287969,0.00232350734282602,0.0181383476439967,0.0149903699537163,517,"tags=43%, list=12%, signal=38%","SLC34A1/MT1H/MT1G/MT1F/MT1HL1/MT1E/MT1X/MT2A/SLC5A1"
"hsa05202","Transcriptional misregulation in cancer",59,0.401564272607478,1.77641050218942,0.00251980771927158,0.0190560458769913,0.0157487982454473,870,"tags=39%, list=21%, signal=31%","HMGA2/SSX4/SSX4B/SSX1/SIX1/HOXA10/HOXA11/SSX2/SSX2B/MMP3/MMP9/SSX3/H3C2/SIX4/MYCN/SSX7/SSX5/ETV4/H3C3/HOXA9/H3C8/H3C15/H3C14"
"hsa04060","Cytokine-cytokine receptor interaction",63,-0.22178699287209,-1.73207957190228,0.00269824861952272,0.0197871565431666,0.0163530219365013,443,"tags=41%, list=11%, signal=37%","IL18R1/IL27/CCL3/CCL23/IL1RAP/IL33/PF4/IL5RA/IL13RA2/CD4/CXCR2/CXCR1/IL1RL1/TSLP/CCL14/NGFR/PPBP/CXCL12/GHR/CXCL2/LIFR/AMHR2/BMP5/CXCL14/BMP10/GDF2"
"hsa00591","Linoleic acid metabolism",11,-0.521972772816709,-2.00719023643049,0.0039517312646677,0.028127028413223,0.0232454780274571,404,"tags=55%, list=10%, signal=49%","CYP3A4/CYP2E1/CYP2C19/CYP2C9/CYP2C8/CYP1A2"
"hsa00250","Alanine, aspartate and glutamate metabolism",18,-0.401888983903941,-1.94492457929494,0.0042115671578126,0.0291199786340185,0.0240660980446434,835,"tags=67%, list=20%, signal=54%","GPT/GOT2/CPS1/ASL/FOLH1/AGXT2/GPT2/ABAT/AGXT/GLS2/ASS1/ASPA"
"hsa03320","PPAR signaling pathway",31,-0.299940960386063,-1.87993681496579,0.00462729580271689,0.0306063418139937,0.0252944973669369,1059,"tags=68%, list=25%, signal=51%","FABP1/SCP2/HMGCS2/EHHADH/ANGPTL4/PCK2/GK/SLC27A2/ACOX2/PLIN5/PLIN1/APOC3/AQP7/ACAA1/ACADL/ACSL1/CYP8B1/SLC27A5/APOA1/APOA5/PCK1"
"hsa04081","Hormone signaling",50,-0.232550384992225,-1.61806427742063,0.00467948201288333,0.0306063418139937,0.0252944973669369,422,"tags=32%, list=10%, signal=29%","TSHR/ADCY1/GNA14/FSHR/IGF1/AVPR1A/GNAO1/ESR1/GHR/ADRA2B/AMHR2/ADRA1A/VIPR1/PTH1R/INS/HAMP"
"hsa05417","Lipid and atherosclerosis",28,-0.312561258133295,-1.8653659878979,0.00515704402033567,0.0328422277084535,0.0271423369491351,437,"tags=36%, list=10%, signal=32%","APOA1/CYP2A6/CYP1A1/CYP2A7/CAMK2B/CXCL2/CYP2C9/CYP2C8/FOS/CYP2B6"
"hsa04931","Insulin resistance",18,-0.388822045794487,-1.88168769019604,0.00593111600705899,0.0368033352232891,0.0304159795233794,1105,"tags=67%, list=26%, signal=49%","FOXO1/PRKAG2/ACACB/PCK2/PPARGC1A/SLC27A2/PPP1R3B/G6PC1/SLC27A5/GYS2/PCK1/INS"
"hsa00650","Butanoate metabolism",14,-0.454043543288697,-1.94419026101349,0.00622522812727013,0.0376626301699843,0.0311261406363507,1097,"tags=79%, list=26%, signal=58%","HMGCL/ACAT1/ACSM2A/HMGCS2/ECHS1/EHHADH/ACSM5/ABAT/ACADS/ACSM3/HMGCLL1"
"hsa04152","AMPK signaling pathway",24,-0.331716093164034,-1.84759592506839,0.00696348488500249,0.0401229367183477,0.0331594518333452,1105,"tags=62%, list=26%, signal=46%","FOXO1/PRKAG2/ACACB/MLYCD/PCK2/PPARGC1A/G6PC1/IGF1/CFTR/CIDEA/FBP1/GYS2/PCK1/ADRA1A/INS"
"hsa04814","Motor proteins",54,0.39475061827011,1.71291451736652,0.00680625772773425,0.0401229367183477,0.0331594518333452,1223,"tags=48%, list=29%, signal=35%","TUBA3C/MYO18B/MYH4/KIF4A/KIF18B/TUBB4A/KIFC1/KIF2C/TNNT1/TNNI3/KIF15/KIF23/KIF18A/KIF20A/KIF14/MYO1A/DYNC1I1/MYH1/CENPE/TUBB3/KIF11/KIF5A/MYH13/MYH2/ACTG2/TNNT2"
